id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,27.993406,-82.541334,n0,Rwy,RW19R,Entry,RW01L,End
Rwy_01_002,1,27.992566,-82.541343,n1,Rwy,,,,
Rwy_01_003,2,27.986826,-82.541557,n2,Rwy,,,,
Rwy_01_004,3,27.9833,-82.541677,n3,Rwy,,,,
Rwy_01_005,4,27.978607,-82.541821,n4,Rwy,,,,
Rwy_01_006,5,27.977323,-82.541866,n5,Rwy,,,,
Rwy_01_007,6,27.975214,-82.541938,n6,Rwy,,,,
Rwy_01_008,7,27.969162,-82.542167,n7,Rwy,,,,
Rwy_01_009,8,27.964251,-82.542301,n8,Rwy,,,,
Rwy_01_010,9,27.963404,-82.542352,n9,Rwy,RW01L,Entry,RW19R,End
Rwy_02_001,10,27.987031,-82.528228,n10,Rwy,RW19L,Entry,RW01R,End
Rwy_02_002,11,27.985771,-82.528263,n11,Rwy,,,,
Rwy_02_003,12,27.98076,-82.528432,n12,Rwy,,,,
Rwy_02_004,13,27.975316,-82.528601,n13,Rwy,,,,
Rwy_02_005,14,27.974576,-82.52864,n14,Rwy,,,,
Rwy_02_006,15,27.972972,-82.528702,n15,Rwy,,,,
Rwy_02_007,16,27.971876,-82.528736,n16,Rwy,,,,
Rwy_02_008,17,27.971535,-82.528744,n17,Rwy,,,,
Rwy_02_03,18,27.970635,-82.52877,n18,Rwy,,,,
Rwy_02_010,19,27.969841,-82.528799,n19,Rwy,,,,
Rwy_02_011,20,27.969465,-82.528813,n20,Rwy,,,,
Rwy_02_012,21,27.96878,-82.528834,n21,Rwy,,,,
Rwy_02_013,22,27.965249,-82.528956,n22,Rwy,,,,
Rwy_02_014,23,27.964438,-82.528987,n23,Rwy,RW01R,Entry,RW19L,End
Rwy_03_001,24,27.970255,-82.514525,n24,Rwy,RW28 ,Entry,RW10 ,End
Rwy_03_002,25,27.970303,-82.516576,n25,Rwy,,,,
Rwy_03_003,26,27.970454,-82.522146,n26,Rwy,,,,
Rwy_03_004,27,27.970532,-82.524331,n27,Rwy,,,,
Rwy_03_005,28,27.970568,-82.526787,n28,Rwy,,,,
Rwy_03_006,29,27.970606,-82.527568,n29,Rwy,,,,
Rwy_03_007,30,27.970614,-82.527922,n30,Rwy,,,,
Rwy_03_008,31,27.970668,-82.529629,n31,Rwy,,,,
Rwy_03_009,32,27.970669,-82.53001,n32,Rwy,,,,
Rwy_03_010,33,27.970831,-82.535931,n33,Rwy,RW10 ,Entry,RW28 ,End
Txy_W8_W,34,27.993037,-82.539945,n34,Txy,,,,
