id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Ramp_04_001,0,21.331653,-157.92395,n0,Ramp,,,,
Gate_01_049,1,21.332045,-157.923866,n1,Gate,,,,
Gate_01_050,2,21.331915,-157.924241,n2,Gate,,,,
Ramp_04_002,3,21.331496,-157.924313,n3,Ramp,,,,
Ramp_04_003,4,21.331439,-157.924845,n4,Ramp,,,,
Gate_01_051,5,21.331833,-157.924583,n5,Gate,,,,
Gate_01_052,6,21.331789,-157.924961,n6,Gate,,,,
Gate_01_057,7,21.333705,-157.924389,n7,Gate,,,,
Gate_01_056,8,21.333374,-157.924493,n8,Gate,,,,
Gate_01_055,9,21.333031,-157.92455,n9,Gate,,,,
Gate_01_054,10,21.332686,-157.924603,n10,Gate,,,,
Ramp_04_008,11,21.332794,-157.925327,n11,Ramp,,,,
Ramp_04_012,12,21.333822,-157.925185,n12,Ramp,,,,
Ramp_04_009,13,21.333137,-157.925279,n13,Ramp,,,,
Ramp_04_011,14,21.333479,-157.92523,n14,Ramp,,,,
Ramp_04_013,15,21.33416,-157.925137,n15,Ramp,,,,
Gate_01_061,16,21.335067,-157.924203,n16,Gate,,,,
Ramp_04_016,17,21.334832,-157.924979,n17,Ramp,,,,
Gate_01_058,18,21.334051,-157.924371,n18,Gate,,,,
Gate_01_060,19,21.334725,-157.924256,n19,Gate,,,,
Gate_01_059,20,21.334398,-157.924341,n20,Gate,,,,
Ramp_04_014,21,21.334506,-157.925086,n21,Ramp,,,,
Txy_G_006,22,21.330986,-157.925789,n22,Txy,,,,
Txy_L_008,23,21.331323,-157.92626,n23,Txy,,,,
Ramp_04_005,24,21.331371,-157.925526,n24,Ramp,,,,
Txy_G_005,25,21.328917,-157.928022,n25,Txy,,,,
Ramp_04_004,26,21.331412,-157.925074,n26,Ramp,,,,
Ramp_04_006,27,21.331868,-157.925457,n27,Ramp,,,,
Txy_L_005,28,21.330165,-157.928481,n28,Txy,,,,
Txy_L_004,29,21.329113,-157.928655,n29,Txy,,,,
Ramp_04_010,30,21.333213,-157.925668,n30,Ramp,,,,
Gate_01_053,31,21.332281,-157.924961,n31,Gate,,,,
Ramp_04_007,32,21.331745,-157.925876,n32,Ramp,,,,
Ramp_04_015,33,21.334467,-157.925494,n33,Ramp,,,,
Ramp_04_018,34,21.335554,-157.926252,n34,Ramp,,,,
Ramp_04_017,35,21.335664,-157.925824,n35,Ramp,,,,
Txy_L_006,36,21.330602,-157.928407,n36,Txy,,,,
Parking_L_001,37,21.330311,-157.929361,n37,Park,,,,
Txy_L_007,38,21.330939,-157.92835,n38,Txy,,,,
Parking_L_002,39,21.330741,-157.929368,n39,Park,,,,
Parking_L_003,40,21.331252,-157.929385,n40,Park,,,,
Txy_V_001,41,21.326165,-157.942814,n41,Txy,,,,
Rwy_01_001,42,21.325248,-157.943212,n42,Rwy,RW08L,Entry,RW26R,End
Txy_T_002,43,21.326132,-157.944314,n43,Txy,,,,
Rwy_01_002,44,21.325246,-157.941859,n44,Rwy,,,,
Txy_RB_005,45,21.326031,-157.941394,n45,Txy,,,,
Txy_T_RB,46,21.324487,-157.942309,n46,Txy,,,,
Txy_T_001,47,21.323436,-157.94144,n47,Txy,,,,
Txy_RB_003,48,21.323482,-157.942908,n48,Txy,,,,
Txy_A_V,49,21.327415,-157.944176,n49,Txy,,,,
Txy_A_A2,50,21.327413,-157.940576,n50,Txy,,,,
Rwy_01_003,51,21.325246,-157.928952,n51,Rwy,,,,
Txy_L_001,52,21.326026,-157.928948,n52,Txy,,,,
Rwy_01_004,53,21.325238,-157.927265,n53,Rwy,,,,
Txy_G_001,54,21.324484,-157.927265,n54,Txy,,,,
Txy_S_001,55,21.324489,-157.922869,n55,Txy,,,,
Txy_Y_001,56,21.326123,-157.921591,n56,Txy,,,,
Txy_D_005,57,21.324452,-157.921839,n57,Txy,,,,
Txy_D_006,58,21.326141,-157.922881,n58,Txy,,,,
Txy_S_002,59,21.326241,-157.92254,n59,Txy,,,,
Rwy_01_005,60,21.325246,-157.922564,n60,Rwy,,,,
Rwy_01_006,61,21.325241,-157.919767,n61,Rwy,,,,
Txy_H_001,62,21.326004,-157.919393,n62,Txy,,,,
Rwy_01_007,63,21.32524,-157.917654,n63,Rwy,,,,
Txy_E_005,64,21.324454,-157.917034,n64,Txy,,,,
Txy_E_006,65,21.326022,-157.918221,n65,Txy,,,,
Rwy_01_008,66,21.325243,-157.914971,n66,Rwy,,,,
Rwy_01_03,67,21.325247,-157.913513,n67,Rwy,,,,
Txy_K_003,68,21.326339,-157.913154,n68,Txy,,,,
Txy_K_002,69,21.324483,-157.913544,n69,Txy,,,,
Rwy_04_008,70,21.324468,-157.91218,n70,Rwy,,,,
Rwy_01_04,71,21.325246,-157.911076,n71,Rwy,,,,
Rwy_01_009,72,21.325241,-157.908937,n72,Rwy,,,,
Txy_C_014,73,21.326012,-157.907556,n73,Txy,,,,
Rwy_01_010,74,21.325241,-157.908635,n74,Rwy,,,,
Rwy_01_011,75,21.325241,-157.90765,n75,Rwy,RW26R,Entry,RW08L,End
Txy_C_018,76,21.329201,-157.906678,n76,Txy,,,,
Txy_C_017,77,21.328051,-157.905707,n77,Txy,,,,
Rwy_04_009,78,21.328668,-157.906219,n78,Rwy,RW22L,Entry,RW04R,End
Txy_C_015,79,21.327153,-157.905928,n79,Txy,,,,
Txy_C_016,80,21.327584,-157.905334,n80,Txy,,,,
Txy_A_004,81,21.330322,-157.907587,n81,Txy,,,,
Txy_C_019,82,21.329279,-157.906744,n82,Txy,,,,
Rwy_03_005,83,21.329767,-157.907117,n83,Rwy,RW22R,Entry,RW04L,End
Rwy_03_003,84,21.323376,-157.916168,n84,Rwy,,,,
Txy_E_004,85,21.322892,-157.915784,n85,Txy,,,,
Txy_E_003,86,21.322829,-157.915728,n86,Txy,,,,
Rwy_04_005,87,21.322283,-157.915291,n87,Rwy,,,,
Txy_E_002,88,21.321657,-157.914784,n88,Txy,,,,
Txy_B_E,89,21.323901,-157.916698,n89,Txy,,,,
Rwy_04_004,90,21.319712,-157.918923,n90,Rwy,,,,
Txy_D_002,91,21.320236,-157.919249,n91,Txy,,,,
Txy_D_003,92,21.320374,-157.919331,n92,Txy,,,,
Rwy_03_002,93,21.320912,-157.919665,n93,Rwy,,,,
Txy_D_004,94,21.321525,-157.92004,n94,Txy,,,,
Txy_D_001,95,21.319052,-157.918521,n95,Txy,,,,
Txy_F_005,96,21.318983,-157.923621,n96,Txy,,,,
Txy_F_004,97,21.317954,-157.92279,n97,Txy,,,,
Txy_F_003,98,21.317876,-157.922723,n98,Txy,,,,
Rwy_03_001,99,21.318429,-157.923175,n99,Rwy,RW04L,Entry,RW22R,End
Txy_F_002,100,21.316709,-157.921787,n100,Txy,,,,
Rwy_04_003,101,21.317327,-157.922296,n101,Rwy,,,,
Rwy_04_002,102,21.316396,-157.923616,n102,Rwy,,,,
Rwy_04_001,103,21.314007,-157.927006,n103,Rwy,RW04R,Entry,RW22L,End
Txy_C_001,104,21.31339,-157.926524,n104,Txy,,,,
Txy_F_006,105,21.319407,-157.923947,n105,Txy,,,,
Txy_D_F,106,21.321964,-157.92031,n106,Txy,,,,
Txy_C_F,107,21.316007,-157.921241,n107,Txy,,,,
Txy_C_D,108,21.318271,-157.918036,n108,Txy,,,,
Txy_C_E,109,21.3213,-157.914502,n109,Txy,,,,
Rwy_03_004,110,21.32447,-157.91462,n110,Rwy,,,,
Rwy_04_006,111,21.323245,-157.913912,n111,Rwy,,,,
Txy_P_001,112,21.323742,-157.911846,n112,Txy,,,,
Rwy_04_007,113,21.324233,-157.912527,n113,Rwy,,,,
Txy_C_P,114,21.323465,-157.911465,n114,Txy,,,,
Txy_B_S,115,21.323867,-157.923048,n115,Txy,,,,
Txy_B_D,116,21.323867,-157.921485,n116,Txy,,,,
Txy_A_S,117,21.326899,-157.922528,n117,Txy,,,,
Txy_A_D,118,21.326902,-157.923352,n118,Txy,,,,
Txy_Z_S,119,21.327726,-157.922509,n119,Txy,,,,
Txy_A_Y,120,21.326899,-157.920152,n120,Txy,,,,
Txy_A_N,121,21.326907,-157.925975,n121,Txy,,,,
Txy_A_L,122,21.327411,-157.928946,n122,Txy,,,,
Txy_L_002,123,21.327856,-157.928943,n123,Txy,,,,
Txy_L_003,124,21.328174,-157.928943,n124,Txy,,,,
Txy_G_003,125,21.327874,-157.928062,n125,Txy,,,,
Txy_G_004,126,21.328182,-157.928065,n126,Txy,,,,
Txy_G_N,127,21.326024,-157.927434,n127,Txy,,,,
Txy_A_G,128,21.327417,-157.928053,n128,Txy,,,,
Txy_A_A4,129,21.327415,-157.943364,n129,Txy,,,,
Txy_A_A3,130,21.327412,-157.942134,n130,Txy,,,,
Txy_A_A1,131,21.327412,-157.939,n131,Txy,,,,
Txy_B_G,132,21.32387,-157.927266,n132,Txy,,,,
Txy_B_003,133,21.323053,-157.927277,n133,Txy,,,,
Txy_B_002,134,21.323042,-157.936465,n134,Txy,,,,
Txy_B_001,135,21.32304,-157.938726,n135,Txy,,,,
Txy_B_T,136,21.32304,-157.941007,n136,Txy,,,,
Txy_B_RB,137,21.323042,-157.94322,n137,Txy,,,,
Txy_B_M,138,21.323036,-157.944212,n138,Txy,,,,
Txy_M_003,139,21.321731,-157.946957,n139,Txy,,,,
Txy_M_002,140,21.321358,-157.948059,n140,Txy,,,,
Txy_M_001,141,21.319609,-157.953223,n141,Txy,,,,
Txy_T_003,142,21.327849,-157.946162,n142,Txy,,,,
Txy_V_002,143,21.329414,-157.946312,n143,Txy,,,,
Txy_RC_001,144,21.307632,-157.944464,n144,Txy,,,,
Txy_RB_001,145,21.307628,-157.945687,n145,Txy,,,,
Rwy_02_001,146,21.306802,-157.945694,n146,Rwy,RW08R,Entry,RW26L,End
Rwy_02_002,147,21.306797,-157.944462,n147,Rwy,,,,
Txy_RM_001,148,21.307758,-157.936165,n148,Txy,,,,
Rwy_02_003,149,21.306791,-157.93437,n149,Rwy,,,,
Txy_RG_001,150,21.307753,-157.920292,n150,Txy,,,,
Rwy_02_004,151,21.306783,-157.922106,n151,Rwy,,,,
Rwy_02_005,152,21.306797,-157.914998,n152,Rwy,,,,
Txy_RH_001,153,21.30762,-157.911983,n153,Txy,,,,
Txy_RA_004,154,21.307623,-157.910762,n154,Txy,,,,
Rwy_02_006,155,21.306796,-157.911986,n155,Rwy,,,,
Rwy_02_007,156,21.306793,-157.910771,n156,Rwy,RW26L,Entry,RW08R,End
Txy_RA_RB,157,21.309692,-157.945693,n157,Txy,,,,
Txy_RA_RC,158,21.309689,-157.944461,n158,Txy,,,,
Txy_RA_001,159,21.309688,-157.93836,n159,Txy,,,,
Txy_RA_RM,160,21.309675,-157.939732,n160,Txy,,,,
Txy_RA_002,161,21.309688,-157.928813,n161,Txy,,,,
Txy_RA_RT,162,21.30968,-157.923059,n162,Txy,,,,
Txy_RA_RG,163,21.309682,-157.916832,n163,Txy,,,,
Txy_RA_RH,164,21.309687,-157.911987,n164,Txy,,,,
Txy_RA_003,165,21.309667,-157.910778,n165,Txy,,,,
Txy_M_004,166,21.322364,-157.94513,n166,Txy,,,,
Txy_RB_002,167,21.317382,-157.946493,n167,Txy,,,,
Txy_A_W,168,21.329678,-157.909689,n168,Txy,,,,
Txy_Z_W,169,21.330286,-157.910198,n169,Txy,,,,
Txy_A_K,170,21.326901,-157.913063,n170,Txy,,,,
Txy_A_H,171,21.326899,-157.918895,n171,Txy,,,,
Txy_Z_H,172,21.327737,-157.918588,n172,Txy,,,,
Txy_Z_Y,173,21.327724,-157.919276,n173,Txy,,,,
Txy_F_001,174,21.315564,-157.920871,n174,Txy,,,,
Txy_K_001,175,21.324385,-157.913584,n175,Txy,,,,
Txy_E_001,176,21.320957,-157.914222,n176,Txy,,,,
Txy_C_002,177,21.313227,-157.925179,n177,Txy,,,,
Txy_RT_001,178,21.312176,-157.925469,n178,Txy,,,,
